Issue Type,Issue Id,Summary,Description,Epic Name,Epic Link,Parent Id,Labels,Story Points,Blocks,Requirements
Epic,EPIC-contract-note-data-source-extensibility,contract-note-data-source-extensibility (delivery),Umbrella epic decomposed from spec 'contract-note-data-source-extensibility'.,contract-note-data-source-extensibility,,,,,,
Story,US-01,Foundation: shared data-source types & infrastructure,"As a developer, I want the shared data-source TypeScript types + DynamoDB record shapes, the Unified Studio Project Role trust-policy change, and the Athena workgroup + results bucket, so that every other story has a stable foundation to build on.",,contract-note-data-source-extensibility,,infra backend,1.5,"US-02,US-03,US-04,US-05,US-06",6
Sub-task,US-01-1,"Extend shared-lib/types.ts with data source entities (TemplateDataSource, SharedSectionDataSourceDependency entity types + records + AvailableDataSource/DataSourceColumn/SectionDataSourceDependency interfaces + SK aliases)",,,,US-01,,,,"2,4"
Sub-task,US-01-2,Modify Project Role trust policy to allow the data-source + enrich Lambda execution roles to assume it; expose PROJECT_ROLE_ARN as a CDK param/env var,,,,US-01,,,,6
Sub-task,US-01-3,Configure Athena workgroup and S3 results bucket; grant the Project Role access to both,,,,US-01,,,,5
Story,US-02,Glue Data Catalog discovery client,"As a Business_User, I want the system to discover the Glue tables available to the Project Role (filtered to those joinable by bryt_number) with their columns, so that subscribed data sources become usable without code changes.",,contract-note-data-source-extensibility,,backend,1.0,"US-03,US-05",1
Sub-task,US-02-1,"Implement Glue catalog client: AssumeRole -> Project Role creds, list databases/tables, filter to bryt_number tables, return AvailableDataSource[] with columns",,,,US-02,,,,1
Sub-task,US-02-2,"Implement column detail fetcher: full column list (name, type) for a specific {database}/{table}",,,,US-02,,,,"3,7"
Sub-task,US-02-3,Property tests for discovery (Property 1: only bryt_number tables discoverable; Property 11: new subscriptions immediately discoverable),,,,US-02,optional,,,"1,6"
Story,US-04,Data source dependency scanner,"As a Business_User, I want shared sections to automatically track which data sources they depend on, derived from the namespaced fields used across all of a section's variant schemas, so that templates using them can be checked.",,contract-note-data-source-extensibility,,backend,1.0,US-07,4
Sub-task,US-04-1,"Implement pdf-me schema field-reference scanner: walk all pages of { schemas: [[...]] }, collect element names containing '.', map prefix -> table name",,,,US-04,,,,4
Sub-task,US-04-2,"Implement shared-section dependency recompute: on variant schema save / version publish, scan all variants' schemas, compute union of referenced data sources, reconcile DATASOURCE_DEP records",,,,US-04,,,,4
Sub-task,US-04-3,Property tests for dependency tracking (Property 5: dependency = union across variants),,,,US-04,optional,,,4
Story,US-03,Data Source API handlers + routing,"As a frontend developer, I want API endpoints to list available data sources, get their columns, and attach/detach/list data sources on a template (plus a shared section's tracked dependencies), so that the Admin Portal can manage attachments.",,contract-note-data-source-extensibility,,backend api,2.0,"US-06,US-07,US-08","2,7"
