Issue Type,Issue Id,Summary,Description,Epic Name,Epic Link,Parent Id,Labels,Story Points,Blocks,Requirements
Epic,EPIC-contract-note-docusign-integration,contract-note-docusign-integration (delivery),Umbrella epic decomposed from spec 'contract-note-docusign-integration'.,contract-note-docusign-integration,,,,,,
Story,US-01,"Foundation: DocuSign pipeline infra, shared types & utilities","As a developer, I want the DocuSign pipeline's base infrastructure (envelope table, signed-docs bucket, credential secrets, webhook API surface), the shared TypeScript types, and the retry + error-writer utilities, so that every other story has a stable foundation to build on.",,contract-note-docusign-integration,,infra backend,2.5,"US-02,US-03,US-04,US-05,US-06","5,6,7,8,10,11"
Sub-task,US-01-1,"DocuSignPipeline CDK construct: envelopes table + SalesforceRefIndex GSI, signed-contract-notes bucket, DocuSign/Salesforce secret placeholders, webhook API route surface, least-privilege IAM scaffolding, CfnOutputs; reuse Estimate 1's error bucket (docusign/ prefix)",,,,US-01,,,,"6,11"
Sub-task,US-01-2,"Shared TypeScript interfaces and types (EnvelopeRecord, EnvelopeStatus, ContractMetadata, SalesforceContact, CreateEnvelopeRequest, DocuSignWebhookEvent, error-record type) in shared-lib/src",,,,US-01,,,,"5,6"
Sub-task,US-01-3,"Retry utility with exponential backoff (1s/2s/4s + jitter), configurable per-call",,,,US-01,,,,"7,8"
Sub-task,US-01-4,Error record writer utility (JSON records to the reused error bucket),,,,US-01,,,,10
Story,US-02,Salesforce integration client (greenfield),"As a system operator, I want a Salesforce client that authenticates, looks up customer contacts, and uploads signed documents, so that contract notes reach the right recipient and land back on the record.",,contract-note-docusign-integration,,backend salesforce,2.0,"US-05,US-06","2,8"
Sub-task,US-02-1,"Salesforce OAuth client: read credentials from Secrets Manager, obtain/cache access token (client credentials flow), refresh before expiry",,,,US-02,,,,2
Sub-task,US-02-2,"Customer contact lookup by customersalesforceref: return name + email; throw on not-found, missing email, or network error",,,,US-02,,,,2
Sub-task,US-02-3,"Signed document upload: ContentVersion + ContentDocumentLink, filename Contract-Note-{offerReference}-Signed-{date}.pdf, using the retry utility",,,,US-02,,,,8
Sub-task,US-02-4,Property tests for the Salesforce client (Property 2: lookup correctness; Property 3: missing contact halts),,,,US-02,optional,,,2
Story,US-03,DocuSign integration client,"As a system operator, I want a DocuSign client that authenticates via JWT, creates/sends envelopes, downloads signed documents, and validates webhook signatures, so that the pipeline can drive e-signature end to end.",,contract-note-docusign-integration,,backend docusign,2.5,"US-05,US-06","3,4,6,7"
Sub-task,US-03-1,"DocuSign JWT authentication: build assertion (integration key, impersonated user, scope), exchange for access token, cache + refresh before expiry",,,,US-03,,,,3
Sub-task,US-03-2,"Envelope creation: document (base64 PDF), signer recipient, signing tab, per-envelope Connect webhook, status 'sent'; return envelope ID",,,,US-03,,,,4
Sub-task,US-03-3,"Signed document download (combined) by envelope ID, using the retry utility",,,,US-03,,,,7
Sub-task,US-03-4,"HMAC webhook signature validation (X-DocuSign-Signature-1, HMAC-SHA256)",,,,US-03,,,,6
Sub-task,US-03-5,Property tests for the DocuSign client (Property 4: token management; Property 5: envelope contents; Property 6: HMAC validation),,,,US-03,optional,,,"3,4,6"
Story,US-04,Envelope metadata service,"As a developer, I want envelope metadata persisted and queryable, so that the webhook can find records by envelope ID and I can debug by Salesforce reference.",,contract-note-docusign-integration,,backend data,1.0,"US-05,US-06",5
Sub-task,US-04-1,"DynamoDB metadata operations: create record on send, get by envelope ID, update status on webhook events, query by Salesforce_Ref via GSI",,,,US-04,,,,5
Sub-task,US-04-2,Property tests for the metadata service (Property 8: record reflects current status),,,,US-04,optional,,,5
Story,US-05,Send Envelope Lambda,"As a system operator, I want a Lambda that, on the SendEnvelope task, reads the contract metadata, looks up the customer, and creates a DocuSign envelope idempotently, so that signing starts automatically without duplicates.",,contract-note-docusign-integration,,backend lambda,1.5,US-08,"1,2,3,4,5,10"
Sub-task,US-05-1,SendEnvelope task handler + contract-metadata extraction from the state payload; validate required fields (halt if missing); idempotency check by contract note S3 key,,,,US-05,,,,1
Sub-task,US-05-2,Send-envelope orchestration: Salesforce lookup -> DocuSign auth -> create envelope -> store metadata; on failure write error record + structured CloudWatch log,,,,US-05,,,,"1,2,3,4,5,10"
Sub-task,US-05-3,Property tests for the send flow (Property 1: trigger-to-envelope correlation / idempotency),,,,US-05,optional,,,"1,4,5"
Story,US-06,Webhook Lambda (completion + declined/expired),"As a system operator, I want a webhook Lambda that validates DocuSign callbacks and, on completion, stores the signed PDF in S3 and Salesforce (or notifies on declined/expired), so that post-signing actions happen automatically.",,contract-note-docusign-integration,,backend lambda api,2.0,US-08,"6,7,8,9,10"
Sub-task,US-06-1,"Webhook request handler: HMAC validation (401 if invalid), parse event, route by status, return 200 to acknowledge",,,,US-06,,,,6
Sub-task,US-06-2,Completion flow: download signed PDF (retries) -> store in S3 -> upload to Salesforce (retries) -> update metadata; on final failure write to error bucket,,,,US-06,,,,"7,8"
Sub-task,US-06-3,"Declined/expired flow: update metadata with status + reason, write notification record to the error bucket",,,,US-06,,,,9
Sub-task,US-06-4,Property tests for the webhook handler (Property 7: completed -> S3 + Salesforce; Property 9: declined/expired notification; Property 10: no partial state),,,,US-06,optional,,,"7,8,9,10"
Story,US-07,Estimate 1 metadata surfacing (Requirement 12),"As a developer, I want the Estimate 1 render pipeline to surface the customer reference and related metadata alongside the produced PDF, so that the DocuSign pipeline knows who to send each contract note to.",,contract-note-docusign-integration,,backend estimate-1 cross-team,1.0,US-08,12
Sub-task,US-07-1,"Extend render/parse-input.ts buildContractSummary to extract customersalesforceref, offerReference and customerName; thread Contract_Metadata through the state payload from parseInput to write-output and on to the SendEnvelope task. Coordinate with Estimate 1 owner (Jabez)",,,,US-07,,,,12
Story,US-08,Integration wiring & deployment,"As a system operator, I want the DocuSign construct wired into the stack, the SendEnvelope task appended to the render state machine with its own catch, and the webhook route connected, so that the whole pipeline deploys and runs end to end.",,contract-note-docusign-integration,,infra integration,1.5,,"1,6,11"
