codename,key,url,summary,issue_type,status,status_category,is_open,priority,parent_key,parent_summary,initiative_key,reporter,assignee,origin,labels,updated
DBT,UBT-14354,https://esg-uk.atlassian.net/browse/UBT-14354,Debt Path Config - Front end bug fixes,Defect Sub-task,Done,Done,False,Normal,UBT-14082,Debt Configuration - Missing Tasks 001,UBT-13473,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-16T19:15:16.826+0100
DBT,UBT-14379,https://esg-uk.atlassian.net/browse/UBT-14379,Debt Path Config - Further front end bug fixes,Defect Sub-task,Done,Done,False,Normal,UBT-14082,Debt Configuration - Missing Tasks 001,UBT-13473,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-16T19:15:17.514+0100
DBT,UBT-14387,https://esg-uk.atlassian.net/browse/UBT-14387,Debt Path Config - Intermittent issue editing Debt Path Stage Description,Defect Sub-task,Done,Done,False,Normal,UBT-14082,Debt Configuration - Missing Tasks 001,UBT-13473,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-06-16T19:15:18.191+0100
DBT,UBT-14685,https://esg-uk.atlassian.net/browse/UBT-14685,Debt Config E2E testing with latest database changes - bug fixes,Defect Sub-task,Done,Done,False,Normal,UBT-14263,"Debt Management - Dev-Eng Story 001 + 002 - Load Screen, Data Retrieval & Key Account Information",UBT-13507,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST,2026-06-16T19:15:31.557+0100
DBT,UBT-14700,https://esg-uk.atlassian.net/browse/UBT-14700,Debt Management E2E testing with latest database changes - bug fixes,Defect Sub-task,Done,Done,False,Normal,UBT-14264,Debt Management - Dev-Eng Story 003 - Stage Stepper Visual Display & Pointer,UBT-13507,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-05-25T13:01:57.792+0100
DBT,UBT-14715,https://esg-uk.atlassian.net/browse/UBT-14715,Fix Debt Service Liquibase issues with new database tables,Defect Sub-task,Done,Done,False,Normal,UBT-14264,Debt Management - Dev-Eng Story 003 - Stage Stepper Visual Display & Pointer,UBT-13507,Martin Wetz-Gill,Unassigned,DEV_TEST,DEV_TEST|release-notes-generated,2026-05-25T13:01:59.304+0100
DBT,UBT-14805,https://esg-uk.atlassian.net/browse/UBT-14805,UI issues for Global Debt Settings ,Defect Sub-task,Done,Done,False,Normal,UBT-13473,Debt Configuration,UBT-13473,Gary Cannon,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-16T19:15:37.916+0100
DBT,UBT-14819,https://esg-uk.atlassian.net/browse/UBT-14819,New Debt Path Builder Header Section UI Issues,Defect Sub-task,Done,Done,False,Normal,UBT-13473,Debt Configuration,UBT-13473,Gary Cannon,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-16T19:15:39.334+0100
DBT,UBT-14826,https://esg-uk.atlassian.net/browse/UBT-14826,Debt Path Design Section UI issues,Defect Sub-task,Done,Done,False,Normal,UBT-13473,Debt Configuration,UBT-13473,Gary Cannon,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-16T19:15:39.949+0100
DBT,UBT-14827,https://esg-uk.atlassian.net/browse/UBT-14827,View Debt Path Ui Issues,Defect Sub-task,Done,Done,False,Normal,UBT-13473,Debt Configuration,UBT-13473,Gary Cannon,Unassigned,SYSTEM_TEST,SYSTEM_TEST|release-notes-generated,2026-06-16T19:15:40.664+0100
